Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Iresine diffusa,"Juba's Bush, Juba's-bush",,Perennial,Up to about 10 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris bracteata,Siskiyou Iris,Perennial,Herb,Up to about 1 foot tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris brevicaulis,Zigzag Iris,Perennial,Herb,Up to about 2 feet tall.,Medium,,"Moist, rich soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay",,,,yes,Clump division is the usual method of increase. All,Herbaceous perennial,Medium,4.0,8.0,June,June,Yes,,,,,,,Wet,,,,,,,,,,,,,Low,Adult Food,Hummingbirds,,,,,,,,,,,,,Yes,,,Herb (perennial),True,True,True,True,True,False
Iris chrysophylla,Yellowleaf Iris,Perennial,Herb,Up to about 10 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris cristata,Dwarf Crested Iris,Perennial,Herb,Up to about 16 inches tall.,Medium,Acidic (pH<6.8),"Well-drained, rich, acid soils.",Flowers attracts hummingbirds and bees.,,,yes,"If seeds are collected, they should be planted immediately in acid soil. Seedlings will take two or three years to flower. Propagating by division is much more reliable than seeds. Divide in early fall when the leaves have begun to yellow.",Herbaceous perennial,Medium,3.0,9.0,April,April,Yes,0.5–0.8,,,,,,Dry,,,,,,,,,,,,,Medium,Adult Food,Native Bees; Hummingbirds,Yes,,,,,,,,,,,,Yes,,,Herb (perennial),True,True,True,False,True,False
Iris douglasiana,"Douglas Iris, Mountain Iris, Western Iris",Perennial,Herb,Up to about 2 feet tall.,,Acidic (pH<6.8),"Moist to dry, nutrient-rich soils.",,,,yes,Increase by seed or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
Iris fulva,"Copper Iris, Red Iris",Perennial,Herb,"Usually up to about 3 feet tall, rarely to 5 feet.","Medium , High","Alkaline (pH>7.2) , Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Saturated, rich soils. Normally grows in acid soils but can tolerate lime.",Attracts hummingbirds and bees,,,yes,Clump division is the usual method of increase. All,Herbaceous perennial,Low,5.0,9.0,May,June,Yes,1.5–2,Moderate,Rhizomatous,Erect,No Color,Deciduous,Wet,High,,,Medium,Moderate,Spring,,No,Low,Medium,Medium/Medium,"Seed, Bulb, Tuber",Medium,Adult Food,Native Bees; Hummingbirds,Yes,,,,,,,,,,,,Yes,,,Herb (perennial),True,True,False,True,True,False
Iris giganticaerulea,"Giant Blue Iris, Blue Flag",Perennial,Herb,Up to about 6 feet tall.,,,"Wet, rich soils.",,,,yes,Clump division is the usual method of increase. All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,True,False,False
Iris hartwegii,"Rainbow Iris, Sierra Iris",Perennial,Herb,Up to about 1 foot tall.,,,"Moist, humus-rich soil.",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False
Iris hexagona,Dixie Iris,Perennial,Herb,Up to about 3 feet tall.,,Acidic (pH<6.8),,,,,,,,,,,,,Yes,,,,,,,Wet,,,,,,,,,,,,,Medium,Adult Food,Native Bees; Bombus,Yes,Yes,,,,,,,,,,,,,,Herb (perennial),True,True,False,True,True,False
Iris hookeri,Canada Beachhead Iris,,Herb,Up to about 2 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris innominata,Del Norte County Iris,Perennial,Herb,Flower stems up to about 10 inches tall. Leaves up to about 14 inches tall.,,,"Drier, well-drained soils.",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False
Iris lacustris,Dwarf Lake Iris,Perennial,Herb,Up to about 6 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Iris longipetala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris macrosiphon,"Bowltube Iris, Ground Iris",Perennial,Herb,Up to about 10 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris missouriensis,"Rocky Mountain Iris, Western Blue Flag",Perennial,Herb,Up to about 2 feet tall.,High,,Wet soils.,Hummingbirds,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False
Iris prismatica,"Slender Blue Iris, Slender Blue Flag, Coastal Iris",Perennial,Herb,Flower stems up to about 32 inches tall.,,,"Moist, acid soil.",,,,yes,Sow seeds outside as soon as they are ripe. Seedlings will germinate in one year and flower in two. Propagation is also accomplished by division.,,,,,,,Yes,,,,,,,Wet,,,,,,,,,,,,,Medium,Adult Food,Bombus; Butterflies,,Yes,,,,Yes,,,,,,,,,,Herb (perennial),False,True,False,False,True,False
Iris savannarum,"Savanna Iris, Anglepod Blueflag",Perennial,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris setosa,"Beachhead Iris, Beach-head Iris, Wild Flag Iris, Alaska Iris",Perennial,Herb,Up to about 3 feet tall.,,,Wet to mesic soils.,Hummingbirds,,,yes,Propagate by seed or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False
Iris tenax,"Toughleaf Iris, Tough-leaf Iris, Oregon Iris",Perennial,Herb,Up to about 14 inches tall.,Medium,,"Drier, well-drained soils.",Hummingbirds,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Iris tenuis,Clackamas Iris,,Herb,Up to about 1 foot tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris tridentata,Savanna Iris,,Herb,Up to about 28 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iris verna,"Dwarf Violet Iris, Vernal Iris, Dwarf Iris",,Herb,Flowers appear on 2 inch stalks before leaf growth begins. Leaves up to about 1 foot long.,"Low , Medium",Acidic (pH<6.8),Highly acid,,,,,,,,,,,,Yes,0.5–1,,,,,,Dry,,,,,,,,,,,,,Low,Adult Food,Native Bees,Yes,,,,,,,,,,,,,,,Herb (perennial),False,True,True,False,True,True
Iris versicolor,"Harlequin Blueflag, Northern Blue Flag, Large Blue Iris",Perennial,Herb,Up to about 3 feet tall.,,Acidic (pH<6.8),"Moist, rich soils.",Hummingbirds,,,,,Herbaceous perennial,Low,3.0,9.0,May,June,Yes,1.5–3.5,,,,,,Wet,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,,Yes,Lymantria dispar,,,,Herb (perennial),True,True,False,True,True,False
Iris virginica,"Virginia Iris, Great Blue Flag, Southern Blue Flag",Perennial,Herb,Up to about 3 feet tall.,High,,"Moist, rich soils.",,,,yes,Clump division is the usual method of increase. Divide in early fall when the leaves begin to turn yellow. Keep stringy roots attached to the stubby,Herbaceous perennial,Low,5.0,9.0,June,June,Yes,2–3,Moderate,Rhizomatous,Erect,No Color,Deciduous,Wet,High,,,Medium,Moderate,Spring,,No,,,Low/Low,"Seed, Bulb",High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Hummingbirds",Yes,Yes,,Yes,,Yes,,,,,,,Yes,,,Herb (perennial),True,True,False,True,True,False
Isolepis cernua,"Low Bulrush, Low Lateral-bulrush",,Grass/Grass-like,Up to about 16 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Isopyrum biternatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Isotria medeoloides,"Small Whorled Pogonia, Green Fiveleaf Orchid",Perennial,Herb,Up to about 10 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Isotria verticillata,"Large Whorled Pogonia, Purple Fiveleaf Orchid",Perennial,Herb,Up to about 16 inches tall when flowering.,,Acidic (pH<6.8),"Organic, Humus Enriched",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False
Itea virginica,"Virginia Sweetspire, Tassel-white, Virginia Willow",Perennial,Shrub,"Usually 3 to 6 feet, but can reach 10 feet tall.",High,Acidic (pH<6.8),"Moist, acid soils. Acid-based, Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay","Cover, Nectar-insects",,,yes,Seeds are very tiny and germinate best if sown thinly in flats in a greenhouse. Sweetspire grows best if kept in a container one year. Semi-hardwood cuttings taken in late summer or early fall will root.,Deciduous shrub,Low,5.0,9.0,June,July,Yes,2–4,Short,Stoloniferous,Erect,No Color,Deciduous,Wet,High,,,Low,Slow,Spring,,No,Low,Medium,High/Medium,"Seed, Container, Bare root",High,Adult Food; Nesting and Structure (Bees),Native Bees; Honey Bees; Butterflies; Nesting and Structure (Bees),Yes,,Yes,,,Yes,,Yes,,,,,,,,Shrub,True,True,False,True,True,False
Iva annua,"Annual Marshelder, Marshelder, Sumpweed, Annual Marsh Elder, Marsh Elder",Annual,Herb,To about 5 feet in height.,,,,,,,,,,,,,,,Yes,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,Schinia gracilenta,,,,Herb (annual),False,False,False,False,False,False
Iva axillaris,Povertyweed,,Herb,Up to about 2 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Iva frutescens,"Jesuit's Bark, High-tide Bush, High-water Shrub, Marsh Elder, Bigleaf Marsh Elder",Perennial,Herb,"Up to about 12 feet tall, often much shorter.",High,,"Moist to wet, saline soils.",,,,yes,,,,,,,,Yes,9,Long,Multiple Stem,Vase,No Color,Deciduous,"Wet, Moist",High,,High,Low,Moderate,"Spring, Summer",Medium,Yes,Low,Medium,Low/Low,"Seed, Container, Bare root",Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,"Aristotelia ivae, Bucculatrix ivella",,,,"Shrub, Herb (perennial)",True,True,False,True,False,False
Iva hayesiana,"San Diego Marsh Elder, San Diego Povertyweed",,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Ixora casei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Jacquemontia pentanthos,Skyblue Clustervine,Perennial,Vine,"Stems 3 to 10 feet long, twining, with",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Jamesia americana,"Fivepetal Cliffbush, Cliffbush",Perennial,Shrub,Up to about 12 feet tall.,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Jeffersonia diphylla,Twinleaf,Perennial,Herb,Up to about 18 inches tall.,,Acidic (pH<6.8),"Rich, damp soils.",,,,yes,"Easily propagated by seed, which should be sown immediately upon ripening and should not be allowed to dry out. Seedlings take 4-5 years to develop into flowering-sized plants. Large plants may be divided at the end of the growing season.",Herbaceous perennial,Low,5.0,7.0,April,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
Juglans californica,"Southern California Walnut, California Black Walnut",,Tree,Up to about 30 feet tall.,,,"Poor, mesic soils.",,,,yes,"Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False
Juglans cinerea,"Butternut, White Walnut",Perennial,Tree,Usually up to about 60 feet tall. Can be up to about 100 feet tall.,Medium,Circumneutral (pH 6.8-7.2),"Rich, moist soils.",,,yes,yes,"Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified.",Tree,Medium,3.0,7.0,May,June,No,80,Short,Single Stem,Erect,Color,Deciduous,"Moist, Dry",Medium,,,Medium,Rapid,"Spring, Summer",Low,Yes,Low,Low,Low/Low,"Seed, Container, Bare root",Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Achatia distincta, Acrobasis juglandis, Acrobasis kearfottella, Actias luna luna, Amorpha juglandis, Amphipyra pyramidoides, Antheraea polyphemus polyphemus, Baileya dormitans, Baileya ophthalmica, Cameraria caryaefoliella, Catocala habilis, Catocala neogama, Catocala piatrix, Catocala vidua, Citheronia regalis, Citheronia splendens, Crocigrapha normani, Datana angusii, Datana integerrima, Datana ministra, Dryocampa rubicunda, Eacles imperialis, Eupsilia tristigmata, Gluphisia septentrionis, Gretchena bolliana, Halysidota tessellaris, Hypena sordidula, Hyphantria cunae, Lophocampa caryae, Lymantria dispar, Machimia tetoriferella, Orgyia leucostigma, Phigalia titea, Samia cynthia cynthia, Satyrium calanus, Satyrium calanus falacer, Satyrium caryaevorum, Schizura concinna, Schizura leptinoides, Spilosoma virginica, Stigmella juglandifoliella, Tetracis cachexiata",,,Yes,Tree,True,True,False,False,True,False
Juglans major,"Arizona Walnut, Arizona Black Walnut, River Walnut, Mountain Walnut, Nogal Silvestre",Perennial,Tree,36-48 feet tall.,Medium,,"Dry, rocky soils.",The nuts provide food for wildlife.,yes,,yes,"Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True
Juglans microcarpa,"Little Walnut, Texas Walnut, Texas Black Walnut, River Walnut, Nogalito, Nogalillo, Namboca",Perennial,Tree,"Up to about 30 feet tall, usually shorter.",Medium,,"Rocky soils. Limestone-based, Sandy Loam, Medium Loam, Clay Loam, Clay, Rocky","The nuts provide food for wildlife. Fruit-birds, Fruit-mammals, Nesting site, Cover.",yes,,,"Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Juglans nigra,"Black Walnut, Eastern Black Walnut, American Black Walnut",Perennial,Tree,Usually up to about 75 feet tall. Can be up to 150 feet tall.,High,Circumneutral (pH 6.8-7.2),"Moist, rich soils. Sandy Loam, Medium Loam, Clay Loam, Acid-based, Calcareous",Squirrels are among the few creatures with strong enough teeth and the determination to gnaw through the extremely hard shells.,,yes,yes,"Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified. Protection from squirrels is necessary.",Tree,Medium,4.0,9.0,May,June,No,100,Moderate,Single Stem,Erect,No Color,Deciduous,Dry,High,Medium,,High,Rapid,Spring,,Yes,Low,High,Low/Low,"Seed, Container, Bare root, Cutting",Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acrobasis angusella, Acrobasis caryivorella, Acrobasis demotella, Acrobasis indigenella, Acrobasis juglandis, Acrobasis juglanivorella, Acrobasis latifasciella, Acronicta afflicta, Actias luna luna, Alsophila pometaria, Amorpha juglandis, Antheraea polyphemus polyphemus, Automeris io io, Baileya dormitans, Caloptilia blandella, Caloptilia juglandiella, Cameraria caryaefoliella, Catocala maestosa, Catocala neogama, Catocala palaeogama, Catocala piatrix, Catocala retecta, Catocala vidua, Citheronia regalis, Citheronia splendens sinaloensis, Coleophora laticornella, Coleophora pruniella, Colocasia propinquilinea, Crocigrapha normani, Cydia caryana, Cydia pomonella, Datana angusii, Datana integerrima, Datana ministra, Dichomeris ligulella, Epinotia timidella, Euproctis chrysorrhoea, Eutrapela clemataria, Euzophera semifuneralis, Gretchena bolliana, Halysidota tessellaris, Heterocampa umbrata, Homohadena infixa, Hyalophora cecropia, Hypagyrtis unipunctata, Hypena madefactalis, Hyphantria cunae, Lochmaeus manteo, Lophocampa caryae, Lophocampa maculata, Lymantria dispar, Malacosoma americana, Nemoria bistriaria, Nemoria bistriaria bistriaria, Nites betulella, Orgyia leucostigma, Orgyia vetusta, Orthosia garmani, Orthosia revicta, Paleacrita vernata, Parallelia bistriaris, Phigalia plumogeraria, Phigalia titea, Phobetron pithecium, Prolimacodes badia, Pyroderces rileyi, Pyrrhia umbra, Sabulodes caberata, Satyrium calanus, Satyrium calanus falacer, Schizura concinna, Schizura ipomoeae, Schizura leptinoides, Spilosoma virginica, Stigmella juglandifoliella",,,Yes,Tree,True,True,False,False,True,False
Juncus acuminatus,Tapertip Rush,Perennial,Grass/Grass-like,,High,,,,,,,,,,,,,,No,3,Moderate,Bunch,Erect,No Color,Deciduous,Wet,High,,,Medium,Moderate,"Spring, Summer",,No,Low,High,Low/Low,"Seed, Bare root, Sprig",None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),True,True,False,False,False,False
Juncus articulatus,"Jointleaf Rush, Jointed Rush",Perennial,Herb,To about 2 feet in height.,,,,,,,,,,,,,,,No,2,Moderate,Rhizomatous,Erect,No Color,Deciduous,Wet,High,,Low,Medium,Moderate,"Spring, Summer",,No,Low,High,Low/Medium,"Seed, Bare root, Sprig",Low,Larval Food,Larval Host (Butterfly); Wind,,,,,,,,,,Yes,,Oeneis jutta,,,Yes,Graminoid (perennial),True,True,False,False,False,False
Juncus balticus,Baltic Rush,,Grass/Grass-like,Up to about 3 feet tall.,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Juncus biflorus,Bog Rush,,Grass/Grass-like,Up to about 4 feet tall.,,,,,,,,,,,,,,,No,3.5,Moderate,Rhizomatous,Erect,No Color,Deciduous,Wet,High,,Low,Medium,Rapid,"Spring, Summer, Fall",,No,,High,Low/Low,"Seed, Bare root, Sprig",None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),True,True,True,False,False,False
Juncus canadensis,"Canadian Rush, Canada Rush",Perennial,Grass/Grass-like,,Medium,,"Clay, Loam, Sand",,,,,,,,,,,,No,3.2,Long,Bunch,Erect,No Color,Deciduous,Wet,Medium,,Medium,Low,Rapid,"Spring, Summer, Fall",,No,,High,Low/Low,"Seed, Bare root, Sprig",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Coleophora bispinatella, Coleophora sexdentatella",,,Yes,Graminoid (perennial),True,True,False,True,False,False
Juncus coriaceus,Leathery Rush,,Grass/Grass-like,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Juncus dudleyi,Dudley's Rush,Perennial,Grass/Grass-like,,,,,,,,,,Rush or Sedge,Low,3.0,9.0,May,July,No,,,,,,,"Wet, Moist",,,,,,,,,,,,,None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),True,False,False,True,True,False
Juncus effusus,"Common Rush, Soft Rush",Perennial,Grass/Grass-like,"6"" to 1'",Medium,,"Clay, Loam, Sand",,,,,,Rush or Sedge,Low,4.0,9.0,June,August,No,6.5,Long,Bunch,Erect,No Color,Deciduous,Wet,Medium,,Low,Medium,Moderate,Spring,,No,Medium,High,High/Medium,"Seed, Sprig",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Coleophora concolorella, Coleophora cratipennella, Coleophora fagicorticella, Coleophora quadrilineella",,,Yes,Graminoid (perennial),True,True,False,True,True,False
Juncus filiformis,Thread Rush,,Grass/Grass-like,Up to about 30 inches tall.,,,,,,,,,,,,,,,No,,,,,,,Wet,,,,,,,,,,,,,None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),False,False,False,False,False,False
Juncus gerardii,Saltmeadow Rush,,Grass/Grass-like,Up to about 3 feet tall.,,,,,,,,,,,,,,,No,,,,,,,Wet,,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,Coleophora maritella,,,Yes,Graminoid (perennial),False,False,False,False,False,False
Juncus greenei,Greene's Rush,,Grass/Grass-like,Up to about 28 inches tall.,,,,,,,,,,,,,,,No,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),False,False,False,False,False,False
Juncus gymnocarpus,Pennsylvania Rush,,Grass/Grass-like,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Juncus interior,Inland Rush,,Grass/Grass-like,Up to about 2 feet tall.,Medium,,"Moist to dry, sandy soil.",,,,yes,,,,,,,,No,3,Moderate,Bunch,Erect,No Color,Deciduous,"Wet, Moist, Dry",Medium,,,Low,Moderate,"Spring, Summer",,No,Low,High,Low/Low,"Seed, Bare root, Sprig",None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),True,True,False,False,True,False
Juncus marginatus,"Grassleaf Rush, Grass Leaf Rush",Perennial,Grass/Grass-like,,Medium,,,,,,,,,,,,,,No,2,Long,Rhizomatous,Erect,No Color,Deciduous,"Wet, Moist",Medium,,,Low,Moderate,"Spring, Summer",,No,Low,High,Low/Low,"Seed, Bare root, Sprig",None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),True,True,False,False,False,False
Juncus militaris,Bayonet Rush,,Grass/Grass-like,Up to about 5 feet tall.,,,,,,,,,,,,,,,No,,,,,,,Wet,,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,Coleophora dentiferoides,,,Yes,Graminoid (perennial),False,False,False,False,False,False
Juncus patens,"Common Rush, Spreading Rush",,Grass/Grass-like,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Juncus roemerianus,"Needlegrass Rush, Black Needlerush",,Herb,Up to about 5 feet tall.,,,"Clay, Loam",,,,,,,,,,,,No,5,Long,Bunch,Erect,No Color,Deciduous,Wet,High,,High,Medium,Moderate,Spring,,No,,Medium,/Low,"Seed, Sprig",None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),True,True,False,True,False,False
Juncus tenuis,"Poverty Rush, Path Rush",Perennial,Grass/Grass-like,Up to about 20 inches tall.,Medium,,,,,,,,Rush or Sedge,Low,2.0,9.0,May,September,No,1.5,Moderate,Bunch,Erect,No Color,Deciduous,"Wet, Moist",Medium,,Low,Low,Slow,"Spring, Summer",,No,Low,High,Low/Low,Bare root,Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Coleophora concolorella, Coleophora cratipennella, Coleophora fagicorticella, Coleophora quadrilineella",,,Yes,Graminoid (perennial),True,True,False,True,True,False
Juncus torreyi,Torrey's Rush,Perennial,Grass/Grass-like,Up to about 3 feet tall.,Medium,,,,,,,,,,,,,,No,3,Long,Rhizomatous,Erect,No Color,Deciduous,"Wet, Moist",Medium,,Low,Low,Moderate,Summer,,No,Low,Medium,Low/Low,"Seed, Bare root, Sprig",None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (perennial),True,True,False,True,True,False
Juniperus barbadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Juniperus californica,"California Juniper, Desert White Cedar",,Shrub,"Up to about 25 feet tall, often shorter.",,,"Dry, alkaline soils.",Provides food and shelter for a variety of wildlife.,,,yes,"Seed can be sown outdoors in fall or stratified and sown in spring. Seed germination is often poor, so a large quantity of seeds should be sown.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Juniperus communis,Common Juniper,Perennial,Tree,"Shrub-like, up to about 12 feet tall, or growing as a",Low,,Sandy,,yes,yes,,,Needled evergreen,Low,2.0,7.0,Non-flowering,Non-flowering,No,2–10,Long,Single Stem,Semi-Erect,No Color,Evergreen,Dry,Low,,Medium,Low,Slow,"Spring, Summer",Medium,No,High,Low,Low/Low,"Seed, Container, Bare root",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Aethes rutilana, Argyresthia annettella, Bucculatrix inusitata, Coleotechnites gibsonella, Coleotechnites juniperella, Dichomeris marginella, Eacles imperialis, Eupithecia interruptofasciata, Eupithecia intricata taylorata, Eupithecia niphadophilata, Griselda radicana, Hyalophora cecropia, Lymantria dispar, Thera contractata, Thera juniperata, Thera otisi",,,Yes,"Tree, Shrub",True,True,False,False,True,True
Juniperus deppeana,"Alligator Juniper, Checkerbark Juniper, Western Juniper, Oakbark Cedar, Thickbark Cedar, Mountain Cedar, Tascate, Tacate, Tlascal",Perennial,Tree,Usually up to about 50 feet tall. Rarely up to about 90 feet tall.,Low,,"Rocky, well-drained soils. Limestone-based, Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Rocky","Nesting site, Cover, Browse, Seeds-Small mammals, Seeds-granivorous birds",,,yes,"Seed can be sown outdoors in fall or stratified and sown in spring. Seed germination is often poor, so a large quantity of seeds should be sown.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
